7.183970856102003255e-01,1.428051001821493693e-01,1.071038251366120270e-01,2.295081967213114665e-02,4.371584699453551909e-03,4.371584699453551909e-03
6.930051813471502786e-01,1.204663212435233138e-01,1.379533678756476589e-01,3.497409326424870402e-02,9.715025906735751116e-03,3.886010362694300446e-03
7.556109725685785650e-01,1.209476309226932694e-01,9.808811305070656850e-02,2.161263507896924244e-02,3.325020781379883685e-03,4.156275976724854606e-04
8.520742358078602363e-01,5.977074235807860320e-02,7.532751091703056290e-02,7.096069868995633252e-03,2.183406113537117790e-03,3.548034934497816626e-03
8.068181818181817677e-01,6.129476584022038738e-02,1.005509641873278265e-01,2.100550964187327882e-02,4.820936639118457434e-03,5.509641873278237068e-03
6.759834368530021065e-01,1.469979296066252494e-01,1.335403726708074557e-01,3.726708074534161586e-02,6.211180124223602064e-03,0.000000000000000000e+00
7.978723404255319007e-01,8.274231678486997088e-02,7.033096926713948427e-02,3.191489361702127409e-02,8.865248226950355262e-03,8.274231678486997435e-03
7.625628140703517577e-01,1.105527638190954842e-01,9.798994974874371267e-02,1.633165829145728776e-02,1.005025125628140718e-02,2.512562814070351796e-03
7.055384615384615588e-01,1.541538461538461413e-01,1.153846153846153910e-01,1.876923076923077069e-02,4.923076923076923246e-03,1.230769230769230812e-03
7.851239669421488099e-01,1.239669421487603340e-01,5.785123966942148921e-02,1.446280991735537230e-02,1.239669421487603340e-02,6.198347107438016701e-03
6.717929482370592620e-01,1.616654163540885147e-01,1.455363840960240129e-01,1.462865716429107357e-02,2.625656414103525859e-03,3.750937734433608308e-03
7.679678949288580858e-01,9.777453484129879080e-02,1.109084275811747511e-01,1.678219627873038869e-02,3.648303538854432738e-03,2.918642831083546104e-03
7.076124567474048055e-01,8.304498269896193330e-02,1.678200692041522391e-01,1.903114186851211087e-02,2.249134948096885925e-02,0.000000000000000000e+00
7.797029702970297294e-01,8.993399339933993986e-02,1.122112211221122091e-01,9.075907590759076451e-03,4.950495049504950555e-03,4.125412541254125029e-03
8.108384458077709800e-01,8.077709611451942828e-02,8.384458077709611157e-02,1.431492842535787326e-02,2.044989775051124937e-03,8.179959100204499747e-03
7.180877279448003581e-01,1.168063085263676693e-01,1.488417939871858053e-01,1.010349926071956589e-02,2.217841301133563307e-03,3.942828979793001724e-03
